	otu	kingdom	phylum	class	order	family	genus	species
1318	oligotype_1319_13	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	0	0
1319	oligotype_1320_13	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema vincentii
1320	oligotype_1321_13	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
1321	oligotype_1322_13	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bergeyella	0
1322	oligotype_1323_13	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia hofstadii
1323	oligotype_1324_13	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas catoniae
1324	oligotype_1325_12	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	0	0
1325	oligotype_1326_12	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	0	0
1326	oligotype_1327_12	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0
1327	oligotype_1328_12	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella maculosa
1328	oligotype_1329_0	0	0	0	0	0	0	0
